Online Post Id,Related Online Post Id,Source Id,Source Name,Online Post,Sentiment Polarity,Sentiment Polarity Intensity,Emotion (6-level),Emotion (8-level),Sarcasm/Irony,Negation,Off-topic,Maltese
141,140,N-1,Times of Malta,"Well if it didn't touch anything then really you have absolutely nothing to complain about. You have a government that has a social soul under which guidance the economy flourished. What sorrows me is the fact that us ex-pats spend the absolute majority of our pension in Malta and yet we are rarely if ever catered for in your government's budget announcements. We contribute just as you contribute, and yet we are invisible for the government.",Negative,Very Negative,Anger,Sadness,0,0,0,0
142,141,N-1,Times of Malta,There were things that needed to be touched or touched with a greater force,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
143,79,N-1,Times of Malta,It is a great budget for the Maltese. How is it that ex-pats who spend their pension here in Malta are never cared for in a budget?,Positive,Positive,Sadness,Sadness,0,1,0,0
144,79,N-1,Times of Malta,"Can you explain how 1.75 euro , 2 euro or 3 euro a week will alleviate those 84000 in the poverty bracket? I agree that the Minister is an expert in playing around with statistics. I shall try to pay my bills with printed graphs",Negative,Negative,Anger,Anger,1,0,0,0
145,144,N-1,Times of Malta,3.8c an hour don't spend it all at once.,Negative,Negative,Anger,Anger,1,0,0,0
146,144,N-1,Times of Malta,<PERSON_ENTITY> you may draw the attention of the EU and Foreign Creditors,Neutral,Neutral,Surprise,Surprise,1,0,1,0
147,79,N-1,Times of Malta,"Cigarettes, petrol/diesel, gas.... those will be touched after the budget. We know the pattern now. It is called 'adjustment'.",Negative,Negative,Anger,Anticipation,0,0,0,0
148,147,N-1,Times of Malta,That was the custom under a PN administration.,Neutral,Neutral,Disgust,Anger,0,0,1,0
149,79,N-1,Times of Malta,"<PERSON_ENTITY>, minghajr taxxi tghid int. Fil- fuel il -gvern ghadu jislohna bil kbir u mhux kif qalet tal ONE lil Delia l-bierah........... € 1.20 % 0.84 The average price in Europe on Super95 for the past two weeks has increased at € 0.01 and now is € 1.20. Malta il petrol qieghed 1.31 il litru.",Negative,Negative,Anger,Anger,0,0,0,1
150,79,N-1,Times of Malta,What’s great about it??? Soon we will start hearing of price fixing for tuna cans!!! Where are the projects that will create jobs? Not increasing the price of cigarettes will do this??? What a petty mind!!,Negative,Very Negative,Disgust,Disgust,0,1,0,0
151,79,N-1,Times of Malta,"In account nghidu mhux on accounts. Great budget. It taxxi habbarhom gurnata qabel <PERSON_ENTITY>, ( PLASTIC ) u ghad ghandna l-ghola taxxa mil pajjizi kollha fl-EU fuq il fuel. It tielet l-ghola fl-Ewropa....... Mela hemm taxxi kbar fil budget <PERSON_ENTITY>.",Positive,Very Positive,Happiness,Trust,0,0,0,1
152,79,N-1,Times of Malta,"So very true, Prof Scicluna is a great accountant, possibly very creative too.",Positive,Positive,Happiness,Trust,0,0,1,0
153,152,N-1,Times of Malta,"He is genius . He, is calm and keeps his feet to the ground, does not see others flies .",Positive,Positive,Happiness,Trust,0,1,1,0
154,153,N-1,Times of Malta,"Genius. That's why despite the surpluses, we got less than the price of a box of panadol a week. Well done genius. U halluna.",Negative,Very Negative,Anger,Anger,1,0,0,1
155,79,N-1,Times of Malta,I think you meant economics rather than accounts,Neutral,Neutral,Surprise,Surprise,0,0,1,0
156,155,N-1,Times of Malta,Both .,Neutral,Neutral,Anger,Anger,0,0,1,0
157,79,N-1,Times of Malta,"The worst thing that could have been done. Not touching cigarettes. Otherwise I just don't care, as every administration never gives you anything from their pockets. That's why it is so called. They just administer.",Negative,Negative,Disgust,Disgust,0,0,0,0
158,79,N-1,Times of Malta,Ragunar BAZWI,Negative,Negative,Disgust,Disgust,0,0,1,1
159,158,N-1,Times of Malta,Mhux hekk !,Negative,Negative,Anger,Anger,1,0,1,1
160,,N-1,Times of Malta,"More focus should be funneled towards motorcycles and bicycles. Malta is a tiny island with every destination reachable in minutes, which is its greatest advantage as it makes biking alot more convenient. If the incentives are strong enough to convinve people to use bicycles/motorbikes, traffic problem will be resolved.",Neutral,Neutral,Anger,Anticipation,0,0,0,0
161,,N-1,Times of Malta,"They should not touch the rental market, this white paper sounds like bad news!",Negative,Negative,Fear,Sadness,0,0,0,0
162,161,N-1,Times of Malta,What is the problem with requiring all rental contracts to be registered? are you concerned that landlords might have to pay tax? I think the government should plan to build more social housing as well,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
163,161,N-1,Times of Malta,The rent market SHOULD be regulated and how! It’s obvious you’re a landowner.,Negative,Negative,Disgust,Disgust,0,0,0,0
164,163,N-1,Times of Malta,It is obvious you are not.,Neutral,Neutral,Anger,Anger,0,1,1,0
165,,N-1,Times of Malta,"The Budgets in Mintoff's days used to give out a little to the Maltese in some form or another. It was a time when the country couldn't afford so much as the economy was in its infancy. But today, Muscat's Labour boasts of surpluses and a super hyper economy yet they distribute so little to Maltese people. No social conscience whatsoever. I wonder why?",Negative,Very Negative,Disgust,Disgust,0,1,0,0
166,165,N-1,Times of Malta,This is the FIRST surplus after the PN’s mess.,Neutral,Neutral,Anger,Anger,0,0,0,0
167,166,N-1,Times of Malta,What surplus my dear? Certainly I see no surplus in my pockets. I believe the same goes for you.,Negative,Very Negative,Disgust,Disgust,1,1,0,0
168,,N-1,Times of Malta,"A lousy Budget from a lousy Labour Government as usual!!! Where did the much-mentioned surplus from the so-called 'good economy'go?!!... I do not believe that the surplus has all gone in the empty pockets of the ordinary people in the streets....far from this! I did pretend that this Budget was going to be a super budget I ever heard of in my entire life after so much much ado in the daily news of a surplus against surplus and a good economy and so on!!...Nothing prevailed nonetheless! The Budget,year after year, is all gimmick and great joke imposed on the ordinary people who once a year do expect some adequate financial aid increase in their salaries or pensions from the government of the day! <PERSON_ENTITY> Hamrun",Negative,Very Negative,Anger,Anger,0,0,0,0
169,168,N-1,Times of Malta,<PERSON_ENTITY> How I miss PN budgets . Dawk kien jkunu bagits classici mhux bhal tal Labour.,Negative,Very Negative,Disgust,Disgust,1,0,0,1
170,,N-1,Times of Malta,"I'm pleasantly surprised but rather than dishing out insignificant amounts to the general public, it would have been positive to present new options and opportunities to those who actually have some ambition to improve their way of life.",Negative,Negative,Surprise,Surprise,0,0,0,0
171,170,N-1,Times of Malta,What is insignificant to you?,Neutral,Neutral,Surprise,Surprise,0,0,0,0
172,,N-1,Times of Malta,"Tax refund of 40 to 64 Euro with no change in tax brackets. So part of it is return to sender. Pensioners' tax ceiling rising from 13,000 to 13,2000 with an increase of 2 Euro weekly. A rise of 104 Euro in pensioners' income with a 200 Euro ceiling rise. Am I right?",Positive,Positive,Surprise,Surprise,0,0,0,0
173,172,N-1,Times of Malta,The rise is €2.00 PLUS €1.75 = €3.75. €3.75 x 52 = €195. Capito?,Neutral,Neutral,Happiness,Joy,0,0,0,0
174,173,N-1,Times of Malta,Le ghandek zball ENORMI. 2 euros biss u xejn aktar. Iccekkja sew u tingannax,Negative,Negative,Anger,Anger,0,0,0,1
175,174,N-1,Times of Malta,"Inkella la nircievi c-cekk jien Jannar 2018, jekk ma niehux 2 plus 1.75, nigi ghandek ha ttiholmli int jekk int ragel Brincat.",Negative,Very Negative,Anger,Anger,1,0,1,1
176,173,N-1,Times of Malta,Capito xejn. Euro 1.75 lill- Haddiem. Euro 2.00 lill Pensjonant.,Neutral,Neutral,Anger,Anger,0,0,0,1
177,173,N-1,Times of Malta,Ma hemm imkien imsemmi li Euro 2.00 lill Pensjonant hija over and above Euro 1.75.,Negative,Negative,Anger,Anger,0,0,0,1
178,173,N-1,Times of Malta,"I need a full time accountant with PhD to work on a full time basis, that can at least understand good English.",Negative,Very Negative,Disgust,Disgust,1,0,0,0
179,173,N-1,Times of Malta,Tghidx hmerijiet <PERSON_ENTITY>. Taghtix ahbarijiet foloz. Inkunu rgiel. Zewg euros hemm ghal pensjonanti u mhux 2 u wiehed u 3 kwarti. Ma ningannawx lin nies.,Negative,Negative,Disgust,Disgust,0,0,0,1
180,172,N-1,Times of Malta,"and can you tell me how many maltese pensioners reach that figure( 13.200 a year ) ? so they can be taxable? who do you think ,or the minister is fooling for that matter",Neutral,Neutral,Anger,Anger,1,0,0,0
181,,N-1,Times of Malta,Same old rubbish,Negative,Very Negative,Disgust,Disgust,0,0,0,0
182,181,N-1,Times of Malta,"Yeah, you would prefer a hike in taxes rather than this budget, right? You don't realize (or, better, you do not care to realize) how lucky you are for having a government that cares. Pity is that nothing ever is mentioned to ease the life of ex-pats in Malta, ex-pats that are spending their pension here in Malta! What a pity!",Positive,Very Positive,Anger,Anger,0,1,0,0
183,182,N-1,Times of Malta,Stop talking nonsense.,Negative,Negative,Anger,Anger,0,0,0,0
184,183,N-1,Times of Malta,I'll stop when you stop.,Neutral,Neutral,Anger,Anger,0,0,1,0
185,182,N-1,Times of Malta,"<PERSON_ENTITY>, did you come to Malta (or any other country for that matter) without first checking what the conditions are?",Neutral,Neutral,Surprise,Surprise,0,0,0,0
186,185,N-1,Times of Malta,"I came to Gozo to retire. I lived in several other countries throughout my life out of work exigencies. But chose Gozo to retire here. I see something special about the island, its climate, its people, even bought a place here as well. I am satisfied with life here. However, would be nice if us ex-pats are recognized by the government in financial issues. You have to know that we are not just sitting ducks here. Apart from spending our pension here we participate in organizations such as the Gozo SPCA which is made up of mostly foreigners. So yes, I think we should be given some assistance when necessary.",Neutral,Neutral,Sadness,Anticipation,0,0,0,0
187,186,N-1,Times of Malta,"Don't get me wrong, one ought to get what is due to him and you are more than welcome here and not just because you spend your pension in Malta (at least as far as I am concerned); but their lies the issue; does a person know what he's getting himself into when he decides to live in another country?",Neutral,Neutral,Surprise,Anticipation,0,0,1,0
188,187,N-1,Times of Malta,"Oh yes I do know where I was going to live. Life is great here in Gozo, especially when comparing with the other countries I lived in throughout my life. What I am suggesting is, as I didn't make myself clear, that Brexit and the fall of the pound are going to have a heavy impact on ex-pats in Malta, thus leading to some to head back to the UK, thus leading to loss of income especially in Gozo. If incentives are offered by your government (which please let me say that you are lucky to have such a government that cares about its people), then these might decrease the outflow. It's a win-win situation for everyone concerned. Malta, most notably the quietness of Gozo, would shine as a perfect place for retirees, especially us Brits :)",Positive,Positive,Fear,Trust,0,0,0,0
189,182,N-1,Times of Malta,a goverment who cares? what planet are you living mate?,Negative,Very Negative,Disgust,Disgust,1,0,0,0
190,189,N-1,Times of Malta,Yeah keep complaining...which years do you prefer? The ones under Mintoff? or under Fenech Adami? These are the best years whether you agree or not...of course you don't admit it because you see blue only...but you know well enough that these are the best times for the people!,Positive,Very Positive,Surprise,Trust,0,0,0,0
191,,N-1,Times of Malta,"Can't complain on the whole personally, it's a good budget. But the next one needs to tackle some of Malta's long standing problems such as traffic. The bus service is back to being a shambles.",Positive,Positive,Happiness,Trust,0,0,0,0
192,191,N-1,Times of Malta,you must be well off then that you are not complaining,Negative,Very Negative,Disgust,Disgust,1,1,0,0
193,,N-1,Times of Malta,All the hype about surplus to be passed on to the people. €1.75 here €2 there €3 anywhere and no practical decent project to tackle problems which are effecting everybody.,Negative,Very Negative,Anger,Anger,0,0,0,0
194,,N-1,Times of Malta,"Pensioners take heart..it's .285714285 cents a day increase ! Wow, Minister you made my day.",Negative,Very Negative,Anger,Anger,1,0,0,0
195,,N-1,Times of Malta,"""non-taxable tax ceiling rising to €13,200"" is this figure for a couple who have two pensions, a pension each? What about those couples who have only one pension because one of them was never in employment? And what about single pensioners who never married or who are widowed?",Negative,Negative,Fear,Anticipation,0,0,0,0
196,195,N-1,Times of Malta,It applies to ALL i.e. households with ONE pension.,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
197,196,N-1,Times of Malta,"Are you sure? At the Social Services office I have been told that ceiling for single pensioners is €10,000! Do you know more than them? Till today I have always believed whatever you write but from today I am assuming that you want to take people for a ride because what matters to you seems to be the lace and frills to whatever the Government does and not what is the real truth! Whenever I ask for some info, what I would want is the real truth....",Negative,Very Negative,Anger,Anger,0,0,0,0
198,,N-1,Times of Malta,€1.75 a week for the worker and nearly €1000.00 a week for Deborah Schembri. Great distribution of the surplus.,Negative,Very Negative,Disgust,Disgust,1,0,0,0
199,,N-1,Times of Malta,"Quite disappointing for pensioners as it was said that public transport will become free next year - apart from this the tax brackets are grossly unfair and they are not going to be changed - I am paying 25% tax as a pensioner - as much as a persons who earns 60,000 a year!!!!!",Negative,Very Negative,Anger,Anger,0,1,0,0
200,199,N-1,Times of Malta,"IF you are really ""paying 25% tax as a pensioner"" it only means that either your pension is very high or that you have another income. Tax is applied on the TOTAL taxable income; the fact that you are a pensioner - as I am - does not exempt you from paying any tax but it provides you with a ceiling of EUR 13200 of non-taxable pension. P.S. If a person earns EUR 60,000 a year his tax would be 60,000 x 0.25 - 2,725 = 13,275... which amounts to 22% and NOT 25% as you claim.",Neutral,Neutral,Surprise,Surprise,0,1,0,0
201,,N-1,Times of Malta,"1.75c ghal haddiem, zewg euros ghal fqir u 3 jobs ghal tal qalba, DEBORAH SCHEMBRI, wiehed minnhom ta 42,000 Euro. Dik gustizzja socjali <PERSON_ENTITY>? Gvern tal haddiem li jqassam il cake gustament. Surplus. Anqas flat u skola wahda f-5 snin. Il poplu jittewweb, il faqar jizdied, surplus ghal tal qalba.",Negative,Very Negative,Disgust,Disgust,1,0,0,1
202,,N-1,Times of Malta,Minimum wage earners sure did not improve much,Negative,Negative,Anger,Anger,0,1,0,0
203,202,N-1,Times of Malta,€4.75 weekly. That's after 25 years of stagnation,Negative,Negative,Anger,Anger,1,0,0,0
204,,N-1,Times of Malta,budget tac ciccri!! Laqas il wedgha tal granet festivi ma zam!,Negative,Very Negative,Disgust,Disgust,0,0,0,1
205,,N-1,Times of Malta,"Malta needs dedicated professional educators not more and larger schools. In present circumstances, we are putting the cart before the horse.",Negative,Negative,Anger,Anger,0,1,0,0
206,,N-1,Times of Malta,"Workers to get wage increase of €1.75 pensioners to get €2 per week rise. So will pensioners get € 3.75 or just the €2 per week.? The wording is different this year COLA was cost of living increase this year the words used ae "" wage increase "".",Neutral,Neutral,Surprise,Anticipation,0,0,0,0
207,,N-1,Times of Malta,I would have expected that pensioners above 65 would also have been given a free tal-linja card the same as students.,Negative,Negative,Surprise,Surprise,0,0,0,0
208,,N-1,Times of Malta,The part of the budget speech that was significant to me is that the benefits handed out are affordable.,Positive,Positive,Surprise,Joy,0,0,0,0
209,,N-1,Times of Malta,"The best measures that will really impact long term health and wellbeing are ""Free one-year bus pass for all those aged between 16 and 20"" and ""Free school transport for all school children to be introduced from next scholastic year"". StilI, I wish the government would go further and introduce totally free public transport for all people under 30 years of age BUT forbid every body from driving private cars till at least age 25. Moreover, cigarettes, vodka and high alcohol content drinks should be HEAVILY taxed and the tax money thus collected put towards constructing spacious, secure, clean, monitored and functional bus stop shelters and sheltered pedestrian ",Positive,Positive,Happiness,Anticipation,0,0,0,0
210,209,N-1,Times of Malta,At last one sensible comment.,Positive,Positive,Happiness,Joy,0,0,0,0
211,210,N-1,Times of Malta,Sensible comment depriving anyone up to the age of 25 the use of a private car ?,Negative,Negative,Anger,Anger,0,0,0,0
212,211,N-1,Times of Malta,"Sorry for my comment, overriding your point. Sensible comment except for that you have mentioned.",Positive,Positive,Surprise,Surprise,0,0,0,0
213,,N-1,Times of Malta,"I think its about time to raise the top tax rate to 40% for earnings over 100k per annum. We need this to fund more infrastructure projects. The rich have had it to easy for too long they need to pay a bit more. Also the the 80% refund tax loop whole has to be amended to be maybe a 50% refund. Its important to stay competitive but its also important to raise the funs needed to build the infrastructure that Malta dearly needs, such as tunnels, underground and better roads.",Neutral,Neutral,Surprise,Anticipation,0,0,0,0
214,213,N-1,Times of Malta,WoW look who`s talking about rising Tax holding a Pint of beer. We are the ones that Employ you so you can drink more pint`s of beer You`r lucky you have crazy us to Gamble and invest our Money to create jobs For you. Don`t talk Nonsense.???,Negative,Negative,Disgust,Disgust,1,0,1,0
215,,N-1,Times of Malta,"Workers wages will increase by €1.75 per week less than the price of a cup of coffee. Wow, that is a real award, I think not.",Negative,Negative,Anger,Anger,0,1,0,0
216,215,N-1,Times of Malta,Pensioners are getting €2 they can get their coffee .. maybe on a Sunday to celebrate !,Negative,Negative,Anger,Anger,1,0,0,0
217,,N-1,Times of Malta,Another broken promise by our PM. What about the €8 a week increase for us pensioners as promised by JM before the election.,Negative,Very Negative,Anger,Anger,0,0,0,0
218,,N-1,Times of Malta,"What about the civil service/armed forces and others having private pensions? are they going to endure another year, without any compensation for the past theft initiated by the labour and carried on, by all successive governments. For them, justice is denied? No wonder the opposition remained silent, because they shoulder part of the blame.",Negative,Negative,Disgust,Disgust,0,0,0,0
219,,N-1,Times of Malta,for those who live in coockoo land https://autotraveler.ru/en/spravka/fuel-price-in-europe.html#.Wdy6YVuCy7Q,Neutral,Neutral,Disgust,Disgust,1,0,0,0
220,,N-1,Times of Malta,"I am very sorry but this budget did not focus on the main great problem this country is being hit with, that is T R A F F I C !! So for me the big problem remains and no one even bothered to try and come up with at least a realistic solution.",Negative,Very Negative,Anger,Sadness,0,0,0,0
221,,N-1,Times of Malta,Encouraging more motorbikes? In Malta? Its like encouraging more accidents..,Negative,Negative,Anger,Anger,0,0,0,0
222,,N-2,Times of Malta,What <PERSON_ENTITY> forgot is il-bullubeef u t-tonn ta'zejt.,Neutral,Neutral,Disgust,Disgust,1,0,1,1
223,222,N-2,Times of Malta,"What you intentionally forgot to mention is the word DEFICIT. Probably if you go back to the last Nationalist budget that of 2012 you will find out that the word DEFICIT meant 300,000 million euro. What a difference!!!!!",Negative,Negative,Surprise,Surprise,0,0,0,0
224,223,N-2,Times of Malta,"<PERSON_ENTITY>, bid-deficit u mhux, id-differenza hawn qedgha:

Data Effettiva Zieda fil-gimgha
1/1/2017 €1.75
1/1/2016 €1.75
1/1/2015 €0.58
1/1/2014 €3.49
1/1/2013 €4.08
1/1/2012 €4.66
1/1/2011 €1.16
1/1/2010 €5.82
1/1/2009 €4.08
1/1/2008 €3.49
1/1/2007 €4.08
1/1/2006 €5.24",Neutral,Neutral,Disgust,Disgust,0,0,0,1
225,224,N-2,Times of Malta,"Zieda effettiva fil gimgha ta vera kienet is €600s li hadu bil mohbi ta kullhadd.
Il 25 % rohs fil kont tad dawl hu ilma,",Negative,Negative,Disgust,Disgust,1,0,1,1
226,225,N-2,Times of Malta,"The P.N. was a disgrace when Lawrence Gonzi promoted themselves with €600 a week rise which their supporters are ASHAMED to mention,and weak minded to support the P.N.from now on they can only stand on ONE FOOT.and take the phrase from dads army WE ARE DOOMED!",Negative,Negative,Disgust,Disgust,0,0,1,0
227,225,N-2,Times of Malta,Dit-tabella kull ma turi hu li l-purchasing power tad-dhul tal-Maltin m'ghadux jonqos bl-istess rata kif kien qabel. Il-COLA mhiex zieda imma mekkanizmu ta' kumpens b'lura ghall-gholi tal-hajja. Jizdiedlek id-dhul meta jonqsulek il-prezzijiet u jew it-taxi jew tizdiedlek il-paga jew il-pernsjoni.,Neutral,Neutral,Surprise,Anticipation,0,0,0,1
228,227,N-2,Times of Malta,Jekk trid tmur daqshekk il-boghod mur ghas-snin 70 u 80 meta dawk il-figuri li tellajt int Gvern Laburista mhux f'euros kien jghatihom izda f''liri maltin u dan meta l-pagi kienu ferm anqas mill-llum.,Neutral,Neutral,Sadness,Sadness,0,0,1,1
229,228,N-2,Times of Malta,"Ma tantx mar il-boghod, mit-2006 lill hawn, il-boghod? Gonzi-PN ma Muscat-PL bazikament. Veru baxxi z-ziddiet. Issa mhux bil-fors taqbel, pero veru baxxi huma, mentri l-hajja gholja kullhadd jghid.",Negative,Negative,Disgust,Anticipation,0,0,1,1
230,229,N-2,Times of Malta,Iva niftakar meta it ton tal zejt u il corned beef kienu jorhsu b 3 mils u kien jighid Ahleb Gus..,Negative,Negative,Disgust,Disgust,1,0,1,1
231,230,N-2,Times of Malta,"Anke jien niftakar meta kellna Prim Ministru u shabu il-ministri jiehdu 600 euro fis-sena baxx baxx minn wara dahar kullhadd u int u jien hadna 1,16 euro. Ahleb Wenz.",Negative,Negative,Disgust,Disgust,1,0,1,1
232,231,N-2,Times of Malta,Igifieri skont int morna lura ghal 1970. Hallina!,Negative,Negative,Anger,Anger,0,0,1,1
233,232,N-2,Times of Malta,"Ma xtaqtx immur lura daqshekk, Il-gist tieghi kien li nwiegeb lil min mar 12 il-sena lura.",Neutral,Neutral,Surprise,Surprise,0,0,1,1
234,233,N-2,Times of Malta,"Tharef bhas soltu. F'mien id-deserta, il-kupuni u id-dawl/ ilma bir-ration, wage freeze kellna.",Negative,Negative,Disgust,Disgust,0,0,1,1
235,234,N-2,Times of Malta,"Ma nsejnix li sal 1971 qabel ma tela il Labour konna ghadna bil kupun tar Ration biex tmur fil Kju ghal sehem il familja kemm imissa Halib tal bot,kem imissa sehme taz zokkor hu kem imissa sehema taz zejt imrangat Sitta hu ghoxrin =26 sena wara li siccat il gwerra.
Mhux ahjar tmorru tinhbew milli tigu tizzattu tghamlua tal bravi ?",Negative,Negative,Anger,Anger,0,0,1,1
236,235,N-2,Times of Malta,"I remember certain jj micallef who use to call the labourites baqq baqq!!,were is he HIDING now??",Negative,Negative,Disgust,Disgust,1,0,1,0
237,223,N-2,Times of Malta,What you intentionally always forget is the exorbitant loans that Malta has. For you to understand id-dejn Nazzjonali.,Negative,Negative,Disgust,Disgust,0,0,0,0
238,237,N-2,Times of Malta,"What she forgot were the year after year of government surpluses under PL rule and the bloating of the Consolidated Fund which was ravished by successive PN Administrations and led us into repeated excessive deficit procedures.
Bet you forgot about these!",Negative,Negative,Disgust,Disgust,0,0,1,0
239,237,N-2,Times of Malta,Dak kien zmien iehor. Ahna issa qed nghejxu. Zgur li budget hafna ahjar mill-passat.,Positive,Positive,Happiness,Joy,0,0,0,1
240,237,N-2,Times of Malta,"Jekk <PERSON_ENTITY> kienet tiekol hobz biz-zejt BISS qabel il-Budget 2018 issa se tibqa' tiekol il-hobz biz-zejt bid-differenza li se zid mieghu xi landa tonn taz-zejt ta' Malta miz-zghar!
<PERSON_ENTITY>
Hamrun",Neutral,Neutral,Disgust,Disgust,1,0,0,1
241,,N-2,Times of Malta,image,,,,,,,,
242,241,N-2,Times of Malta,You have to hand it to them -- they're very good at handing out money to themselves!,Negative,Very Negative,Disgust,Disgust,1,0,0,0
243,241,N-2,Times of Malta,"Oh please ,guy. Guess you must have praised Dalli's and Tonio's budgets to high heaven even when exorbitant utilities bills were the highlights or when the Maltese Lira was devalued ,or when fuel prices used to increase each month , or when holidays were stolen or ...... shall we go on? If there's one thing the Nats are good at it's bankrupting the country. Remember the Nat minister telling us that the debt incurred by his party should be paid by our children and grandchildren? Or Eddie Eddie shout that we should not worry about high prices? And with all your comics you're not impressing anyone,so stop wasting your time.",Negative,Negative,Disgust,Disgust,0,1,1,0
244,243,N-2,Times of Malta,"Yes please go on......but I feel bound to tell you that your immaturity doesn't help you make sound arguments.

Whichever way you spin it, you and your corrupt masters have nothing to offer and you are just reaping the fruits of previous decent PN administrations.",Negative,Very Negative,Disgust,Disgust,0,0,0,0
245,244,N-2,Times of Malta,"Well ,so you consider your comics as sound arguments. It's your party which has been reduced to being a comic. Not even one mp on your side has sound arguments ,including the leader. Has any of your mps offered valid solutions to the problems which they say that the country is facing? Of course not; lack of talent ,my friend. The Nat party had arguments which were so sound that they lost by a bigger margin than four years ago. 
The previous administrations did lay down the foundations of some valid organisations ,but nevertheless the no -talent ministers were unable to reap the fruits , and all the people got were high utility bills , no rise in pensions, excessive deficits in budgets,taxes on everything, etc etc etc... And you have the cheek to call them 'decent Nat administrations'.",Neutral,Neutral,Disgust,Disgust,0,0,0,0
246,245,N-2,Times of Malta,"First things first. Delia is not my leader.

Now let me repeat it slowly for you.

Your corrupt masters have absolutely nothing to do with the current economic performance. They are just reaping the fruit of massive macro transformation of country since 1987.

Because you vote the corrupt it is beyond you to understand that an economy is not built in 4 years but in decades. This despite you and your corrupt masters having been against key developments that today are reaping fruits. To name a few

Freedom of speech
Infrastructure 
Rule of Law
Proper Education
Free trade
VAT
Financial services particularly HSBC
High Value Added manufacture
Financial Services
Low Cost Airlines, but above all

EU membership and the Euro.",Negative,Very Negative,Disgust,Disgust,0,0,1,0
247,,N-2,Times of Malta,"An increase of 1Euro75c or 2Euros weekly increase is surely not enough for the present cost of living while our beloved Premier Joey was always boasting on the media that the economy was doing well and there was a surplus ready to be distributed to all the people in the coming budget [2018]!
What a joke!!!
<PERSON_ENTITY>
Hamrun",Negative,Very Negative,Disgust,Disgust,0,1,0,0
248,,N-2,Times of Malta,"Dear PN you created the traffic problem with a lack of vision during your 25 years in Government. You could have changed everything, but did nothing.",Negative,Negative,Anger,Anger,0,0,1,0
249,248,N-2,Times of Malta,And what has the PL done in the last 5 years? I'm looking ... but I can't see anything!,Negative,Very Negative,Disgust,Disgust,1,0,0,0
250,248,N-2,Times of Malta,"Telling you you're shameless is a splendid euphemism, if there ever was one.

Grow up.",Negative,Negative,Disgust,Disgust,1,0,1,0
251,,N-2,Times of Malta,Mhux ahjar Joseph Muscat titweetjalna meta se niehdu il-festi li jaqaw is-Sibt u l-Hadd skond il-weghda elettorali li ghamiltilna. Hsibt li billi tajtna gurnata leave extra fis-sena saddejtna?,Negative,Negative,Sadness,Sadness,0,0,0,1
252,251,N-2,Times of Malta,Programm elettorali hu pjan ta' hames snin mhux ta' sena.,Neutral,Neutral,Happiness,Anticipation,0,0,1,1
253,251,N-2,Times of Malta,Ahjar taqra sew il-programm elettorali fejn kien jghid li l-festi ser jinghataw lura gradwalment mhux kollha f'daqqa.,Neutral,Neutral,Disgust,Trust,0,0,1,1
254,253,N-2,Times of Malta,Forsi jaqra biss li jidhirlu hu.,Neutral,Neutral,Anger,Anger,1,0,0,1
255,,N-2,Times of Malta,We can't afford this budget. Extra day of leave? No vat for people earning under 20K? The 'boom' will not be around forever,Negative,Very Negative,Anger,Fear,0,1,0,0
256,255,N-2,Times of Malta,"if wealth is spread and people encouraged to use their income I think it can be maintained, of course with continued investment and industry",Neutral,Neutral,Surprise,Anticipation,0,0,0,0
257,256,N-2,Times of Malta,as long as labour is in power the boom will be maintained,Neutral,Neutral,Happiness,Trust,0,0,0,0
258,257,N-2,Times of Malta,"And as soon as Labour has ruined the country, the PN will be voted in to clean up the mess. That's usually the pattern. Too late!",Negative,Very Negative,Anger,Anger,0,0,0,0
259,,N-2,Times of Malta,"l-ewwel budget bla taxxa. 
hidma ta Gvern Ghaqli.",Positive,Very Positive,Happiness,Trust,0,0,0,1
260,,N-2,Times of Malta,"'So buckle up, grab a bag of popcorn and join us on this fiscal ride.

Heh Heh I like that - Yeah, I damn well like that!",Neutral,Neutral,Surprise,Anticipation,1,0,0,0
261,,N-2,Times of Malta,"Proset Profs. Dak li jridu jkunu mgharfa bih in-nies, kif konna fi' 2013 u kif qedin issa, Comparison with Huge Amounts of Debts, Excessive Deficit Procedures - Year in Year out to No Excessive Deficit Procedures, More employment, deduction of Mata's debt, Good Economy in all Sectors, and the opposite from crashing into a wall as the PN Party did .",Positive,Positive,Happiness,Trust,0,0,0,1
262,261,N-2,Times of Malta,In-nies minn sena ghal sena irid jara mhux x'sar snin ilu. B'1.75 cents fl-aqwa zmien halluna komplu idhqu b'gahan il-malti.,Negative,Negative,Disgust,Disgust,0,0,0,1
263,262,N-2,Times of Malta,"Well <PERSON_ENTITY>, if you don't like the €1'75 refuse to take it`s simple as that.",Neutral,Neutral,Anger,Anger,0,0,0,0
264,,N-2,Times of Malta,"nothing wrong with riding the property wave, particularly if issues (high rental costs to locals) associated with the industry and addressed however, I don't see any new opportunities other than another potential bubble; blockchain.

A country's economy, even one as small as Malta, cannot be dependant on just these two sectors.",Neutral,Neutral,Surprise,Anticipation,0,0,0,0
265,,N-2,Times of Malta,"This budget makes more bleak reading by the sectors it doesn't mention, most important of which, education.",Negative,Negative,Sadness,Sadness,0,0,0,0
